date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,exit_reason,realized_return
2026-02-17,AAPL,call,ITM,mid,25.0,10:00,10:05,target,0.25
2026-02-17,AAPL,call,ITM,mid,25.0,11:00,13:10,target,0.25
2026-02-17,AAPL,call,ITM,mid,25.0,13:30,16:00,forced,-0.36876
2026-02-18,AAPL,call,ITM,mid,25.0,10:00,10:30,target,0.25
2026-02-18,AAPL,call,ITM,mid,25.0,11:00,12:30,target,0.25
2026-02-18,AAPL,call,ITM,mid,25.0,12:30,12:40,target,0.25
2026-02-18,AAPL,call,ITM,mid,25.0,13:30,14:00,target,0.25
2026-02-18,AAPL,call,ITM,mid,25.0,14:00,16:00,forced,-0.5937
2026-02-19,AAPL,call,ITM,mid,25.0,10:00,12:25,target,0.25
2026-02-19,AAPL,call,ITM,mid,25.0,12:30,12:55,target,0.25
2026-02-19,AAPL,call,ITM,mid,25.0,13:30,14:05,target,0.25
2026-02-19,AAPL,call,ITM,mid,25.0,14:30,16:00,forced,-0.20815
2026-02-20,AAPL,call,ITM,mid,25.0,10:00,10:15,target,0.25
2026-02-20,AAPL,call,ITM,mid,25.0,11:00,11:50,target,0.25
2026-02-20,AAPL,call,ITM,mid,25.0,12:30,16:00,forced,-0.97285
2026-02-23,AAPL,call,ITM,mid,25.0,10:00,10:15,target,0.25
2026-02-23,AAPL,call,ITM,mid,25.0,11:00,11:15,target,0.25
2026-02-23,AAPL,call,ITM,mid,25.0,11:30,16:00,forced,-0.99172
2026-02-24,AAPL,call,ITM,mid,25.0,10:00,10:35,target,0.25
2026-02-24,AAPL,call,ITM,mid,25.0,11:00,16:00,forced,-0.96228
2026-02-25,AAPL,call,ITM,mid,25.0,10:00,10:05,target,0.25
2026-02-25,AAPL,call,ITM,mid,25.0,11:00,16:00,forced,-0.98796
2026-02-26,AAPL,call,ITM,mid,25.0,10:00,10:10,target,0.25
2026-02-26,AAPL,call,ITM,mid,25.0,11:00,11:45,target,0.25
2026-02-26,AAPL,call,ITM,mid,25.0,12:30,14:55,target,0.25
2026-02-26,AAPL,call,ITM,mid,25.0,15:30,16:00,forced,-0.46341
2026-02-27,AAPL,call,ITM,mid,25.0,10:00,13:50,target,0.25
2026-02-27,AAPL,call,ITM,mid,25.0,14:00,15:20,target,0.25
2026-02-27,AAPL,call,ITM,mid,25.0,15:30,16:00,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,09:35,10:50,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,11:30,11:40,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,12:00,12:20,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,12:30,13:05,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,13:30,14:00,target,0.25
2026-03-02,AAPL,call,ITM,mid,25.0,14:00,16:00,forced,-0.08112
2026-03-03,AAPL,call,ITM,mid,25.0,09:35,13:05,target,0.25
2026-03-03,AAPL,call,ITM,mid,25.0,13:30,13:35,target,0.25
2026-03-03,AAPL,call,ITM,mid,25.0,14:00,14:05,target,0.25
2026-03-03,AAPL,call,ITM,mid,25.0,14:30,16:00,forced,-0.96961
2026-03-04,AAPL,call,ITM,mid,25.0,09:35,13:00,target,0.25
2026-03-04,AAPL,call,ITM,mid,25.0,13:30,13:55,target,0.25
2026-03-04,AAPL,call,ITM,mid,25.0,14:00,14:20,target,0.25
2026-03-04,AAPL,call,ITM,mid,25.0,14:30,15:15,target,0.25
2026-03-04,AAPL,call,ITM,mid,25.0,15:30,16:00,forced,-0.29161
2026-03-05,AAPL,call,ITM,mid,25.0,09:35,15:50,target,0.25
