symbol,direction,moneyness,fill_mode,T_pct,n_test_trades,n_test_days,trades_per_day,win_rate,avg_win,avg_loss,expectancy_per_trade,expectancy_per_day,cumulative_test_pnl,unreliable_low_sample
AMD,put,OTM1,mid,25.0,447,219,2.041,0.5727,0.25,-0.45558,-0.05149,-0.10509,-23.01498,False
AMD,put,OTM1,mid,30.0,409,219,1.868,0.5281,0.3,-0.43016,-0.04455,-0.0832,-18.22136,False
AMD,put,OTM1,mid,40.0,368,219,1.68,0.4538,0.4,-0.43468,-0.0559,-0.09393,-20.5702,False
AMD,put,OTM1,mid,50.0,331,219,1.511,0.3988,0.5,-0.43841,-0.06418,-0.097,-21.24343,False
AMD,put,OTM1,mid,60.0,319,219,1.457,0.3574,0.6,-0.40582,-0.04638,-0.06755,-14.79387,False
AMD,put,OTM1,mid,70.0,299,219,1.365,0.3211,0.7,-0.39124,-0.04088,-0.05581,-12.22199,False
AMD,put,OTM1,mid,75.0,289,219,1.32,0.2941,0.75,-0.37883,-0.04682,-0.06179,-13.53183,False
AMD,put,OTM1,mid,80.0,288,219,1.315,0.2917,0.8,-0.37475,-0.03211,-0.04223,-9.24804,False
AMD,put,OTM1,mid,90.0,272,219,1.242,0.25,0.9,-0.34921,-0.03691,-0.04584,-10.03949,False
AMD,put,OTM1,mid,100.0,267,219,1.219,0.221,1.0,-0.33738,-0.04186,-0.05103,-11.17563,False
AMD,put,OTM1,market,20.0,429,219,1.959,0.5455,0.2,-0.51863,-0.12665,-0.2481,-54.3332,False
AMD,put,OTM1,market,25.0,397,219,1.813,0.5113,0.25,-0.50273,-0.11783,-0.2136,-46.77939,False
AMD,put,OTM1,market,30.0,371,219,1.694,0.4636,0.3,-0.49817,-0.12813,-0.21706,-47.53565,False
AMD,put,OTM1,market,40.0,337,219,1.539,0.4036,0.4,-0.49091,-0.13138,-0.20216,-44.27374,False
AMD,put,OTM1,market,50.0,315,219,1.438,0.3619,0.5,-0.48319,-0.12737,-0.1832,-40.12125,False
AMD,put,OTM1,market,60.0,299,219,1.365,0.3211,0.6,-0.4616,-0.12075,-0.16487,-36.10549,False
AMD,put,OTM1,market,70.0,283,219,1.292,0.2756,0.7,-0.43599,-0.12289,-0.1588,-34.77772,False
AMD,put,OTM1,market,75.0,277,219,1.265,0.2599,0.75,-0.42478,-0.11942,-0.15105,-33.07975,False
AMD,put,OTM1,market,80.0,270,219,1.233,0.237,0.8,-0.41264,-0.1252,-0.15436,-33.80409,False
AMD,put,OTM1,market,90.0,267,219,1.219,0.2172,0.9,-0.40143,-0.11872,-0.14474,-31.69888,False
AMD,put,OTM1,market,100.0,263,219,1.201,0.2053,1.0,-0.40017,-0.11268,-0.13532,-29.63483,False
AMD,put,ATM,mid,20.0,496,220,2.255,0.6089,0.2,-0.42818,-0.0457,-0.10303,-22.66628,False
AMD,put,ATM,mid,25.0,447,220,2.032,0.5638,0.25,-0.41882,-0.04177,-0.08487,-18.67078,False
AMD,put,ATM,mid,30.0,425,220,1.932,0.5294,0.3,-0.40007,-0.02945,-0.05689,-12.51498,False
AMD,put,ATM,mid,40.0,367,220,1.668,0.4496,0.4,-0.40035,-0.04052,-0.0676,-14.87108,False
AMD,put,ATM,mid,50.0,336,220,1.527,0.3958,0.5,-0.3917,-0.03873,-0.05916,-13.01455,False
