date,symbol,direction,moneyness,fill_mode,T_pct,entry_time,exit_time,minutes_to_hit,basis
2026-01-05,ORCL,call,OTM1,market,90.0,11:50,15:45,235.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM1,market,100.0,11:55,15:45,230.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,25.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,30.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,40.0,10:05,15:45,340.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,50.0,10:20,15:45,325.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,60.0,10:25,15:25,300.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,70.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,75.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,80.0,11:00,15:45,285.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,90.0,11:00,15:45,285.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,mid,100.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,20.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,25.0,09:50,15:45,355.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,30.0,10:00,15:45,345.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,40.0,10:05,15:45,340.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,50.0,10:25,15:25,300.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,60.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,70.0,10:25,15:45,320.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,75.0,11:00,15:45,285.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,80.0,11:00,15:45,285.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,90.0,11:20,15:25,245.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,call,OTM2+,market,100.0,11:20,15:45,265.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,20.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,20.0,10:00,10:25,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,25.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,30.0,09:35,10:20,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,40.0,09:35,10:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,50.0,09:35,10:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,60.0,09:35,11:00,85.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,70.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,75.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,80.0,09:35,11:50,135.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,90.0,09:35,11:55,140.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,mid,100.0,09:35,11:55,140.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,20.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,25.0,09:35,10:20,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,30.0,09:35,10:20,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,40.0,09:35,10:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,50.0,09:35,11:00,85.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,60.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,70.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,75.0,09:35,11:50,135.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,80.0,09:35,11:55,140.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,90.0,09:35,11:55,140.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM2+,market,100.0,09:40,11:55,135.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,20.0,09:35,10:00,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,20.0,10:00,10:25,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,20.0,10:25,11:50,85.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,20.0,12:30,12:50,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,20.0,13:05,13:30,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,25.0,09:35,10:05,30.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,25.0,10:05,11:20,75.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,25.0,11:30,11:50,20.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,30.0,09:35,10:20,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,30.0,10:20,11:20,60.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,30.0,11:30,11:55,25.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,40.0,09:35,10:25,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,40.0,10:30,11:20,50.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,40.0,11:30,12:15,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,50.0,09:35,11:00,85.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,50.0,11:10,11:55,45.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,60.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,70.0,09:35,11:20,105.0,OPPORTUNITY/HINDSIGHT
2026-01-05,ORCL,put,OTM1,mid,75.0,09:35,11:50,135.0,OPPORTUNITY/HINDSIGHT
