symbol,direction,regime,fill_mode,T_pct,rank,entry_bucket,n,hit_pct,median_min_to_target,low_sample
AAPL,call,Fri-0DTE,market,50.0,1,09:30,3752,25.4,49.0,False
AAPL,call,Fri-0DTE,market,50.0,2,10:00,4184,23.566,72.0,False
AAPL,call,Fri-0DTE,market,50.0,3,10:30,3896,22.69,96.5,False
AAPL,call,Fri-0DTE,market,50.0,4,11:00,3685,21.058,92.0,False
AAPL,call,Fri-0DTE,market,50.0,5,11:30,3518,20.893,69.0,False
AAPL,call,Fri-0DTE,market,50.0,6,12:00,3321,19.723,68.0,False
AAPL,call,Fri-0DTE,market,50.0,7,12:30,3220,17.391,69.0,False
AAPL,call,Fri-0DTE,market,50.0,8,13:00,3067,15.096,77.0,False
AAPL,call,Fri-0DTE,market,50.0,9,13:30,2941,14.893,81.5,False
AAPL,call,Fri-0DTE,market,50.0,10,14:00,2893,14.138,61.0,False
AAPL,call,Fri-0DTE,market,50.0,11,14:30,2841,11.616,48.0,False
AAPL,call,Fri-0DTE,market,50.0,12,15:00,2958,9.5,33.0,False
AAPL,call,Fri-0DTE,market,50.0,13,15:30,652,7.975,21.0,False
AAPL,call,Fri-0DTE,market,75.0,1,09:30,3752,19.749,65.0,False
AAPL,call,Fri-0DTE,market,75.0,2,10:00,4184,17.471,102.0,False
AAPL,call,Fri-0DTE,market,75.0,3,10:30,3896,16.786,110.5,False
AAPL,call,Fri-0DTE,market,75.0,4,11:00,3685,15.115,99.0,False
AAPL,call,Fri-0DTE,market,75.0,5,11:30,3518,15.094,78.0,False
AAPL,call,Fri-0DTE,market,75.0,6,12:00,3321,14.724,82.0,False
AAPL,call,Fri-0DTE,market,75.0,7,12:30,3220,12.298,82.0,False
AAPL,call,Fri-0DTE,market,75.0,8,13:00,3067,11.281,101.0,False
AAPL,call,Fri-0DTE,market,75.0,9,13:30,2941,10.847,93.0,False
AAPL,call,Fri-0DTE,market,75.0,10,14:00,2893,10.266,79.0,False
AAPL,call,Fri-0DTE,market,75.0,11,14:30,2841,8.659,55.0,False
AAPL,call,Fri-0DTE,market,75.0,12,15:00,2958,7.302,34.0,False
AAPL,call,Fri-0DTE,market,75.0,13,15:30,652,5.521,21.0,False
AAPL,call,Fri-0DTE,market,100.0,1,09:30,3752,15.458,76.0,False
AAPL,call,Fri-0DTE,market,100.0,2,10:00,4184,14.173,114.0,False
AAPL,call,Fri-0DTE,market,100.0,3,10:30,3896,13.45,124.0,False
AAPL,call,Fri-0DTE,market,100.0,4,11:30,3518,12.337,98.5,False
AAPL,call,Fri-0DTE,market,100.0,5,11:00,3685,12.32,110.0,False
