# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)  (by day of week)
# Lookback = 365 calendar days
# Generated 2026-06-12 12:50:24  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Friday,2025-06-13,AAPL,AAPL250613C00195000,195.0,REAL,3:38 PM,1.27,3:49 PM,1.19,-0.08,-8.0,False,
Friday,2025-06-20,AAPL,AAPL250620C00200000,200.0,REAL,3:40 PM,0.32,3:50 PM,0.38,0.06,6.0,True,
Friday,2025-06-27,AAPL,AAPL250627C00200000,200.0,REAL,3:40 PM,1.18,3:50 PM,0.85,-0.33,-33.0,False,
Friday,2025-07-11,AAPL,AAPL250711C00210000,210.0,REAL,3:40 PM,1.14,3:50 PM,1.08,-0.06,-6.0,False,
Friday,2025-07-18,AAPL,AAPL250718C00210000,210.0,REAL,3:40 PM,1.02,3:50 PM,1.19,0.17,17.0,True,
Friday,2025-07-25,AAPL,AAPL250725C00215000,215.0,REAL,3:40 PM,0.01,3:50 PM,0.02,0.01,1.0,True,
Friday,2025-08-01,AAPL,AAPL250801C00202500,202.5,REAL,3:40 PM,0.4,3:50 PM,0.4,0.0,0.0,False,
Friday,2025-08-08,AAPL,AAPL250808C00230000,230.0,REAL,3:40 PM,0.09,3:50 PM,0.28,0.19,19.0,True,
Friday,2025-08-15,AAPL,AAPL250815C00230000,230.0,REAL,3:40 PM,1.66,3:50 PM,1.39,-0.27,-27.0,False,
Friday,2025-08-22,AAPL,AAPL250822C00227500,227.5,REAL,3:40 PM,0.36,3:50 PM,0.55,0.19,19.0,True,
Friday,2025-08-29,AAPL,AAPL250829C00232500,232.5,REAL,3:40 PM,0.48,3:50 PM,0.17,-0.31,-31.0,False,
Friday,2025-09-05,AAPL,AAPL250905C00240000,240.0,REAL,3:40 PM,0.2,3:50 PM,0.16,-0.04,-4.0,False,
Friday,2025-09-12,AAPL,AAPL250912C00235000,235.0,REAL,3:40 PM,0.01,3:50 PM,0.02,0.01,1.0,True,
Friday,2025-09-19,AAPL,AAPL250919C00245000,245.0,REAL,3:40 PM,0.55,3:50 PM,0.85,0.3,30.0,True,
Friday,2025-09-26,AAPL,AAPL250926C00255000,255.0,REAL,3:40 PM,0.35,3:50 PM,0.29,-0.06,-6.0,False,
Friday,2025-10-03,AAPL,AAPL251003C00257500,257.5,REAL,3:40 PM,0.55,3:50 PM,0.35,-0.2,-20.0,False,
Friday,2025-10-10,AAPL,AAPL251010C00247500,247.5,REAL,3:40 PM,0.09,3:50 PM,0.06,-0.03,-3.0,False,
Friday,2025-10-17,AAPL,AAPL251017C00252500,252.5,REAL,3:40 PM,0.84,3:50 PM,0.6,-0.24,-24.0,False,
Friday,2025-10-24,AAPL,AAPL251024C00262500,262.5,REAL,3:40 PM,0.85,3:50 PM,0.7,-0.15,-15.0,False,
Friday,2025-10-31,AAPL,AAPL251031C00272500,272.5,REAL,3:40 PM,0.22,3:50 PM,0.14,-0.08,-8.0,False,
Friday,2025-11-07,AAPL,AAPL251107C00267500,267.5,REAL,3:40 PM,0.75,3:50 PM,0.71,-0.04,-4.0,False,
Friday,2025-11-14,AAPL,AAPL251114C00275000,275.0,REAL,3:40 PM,0.02,3:50 PM,0.01,-0.01,-1.0,False,
Friday,2025-11-21,AAPL,AAPL251121C00272500,272.5,REAL,3:40 PM,0.12,3:50 PM,0.02,-0.1,-10.0,False,
Friday,2025-12-05,AAPL,AAPL251205C00280000,280.0,REAL,3:40 PM,0.01,3:50 PM,0.01,0.0,0.0,False,
Friday,2025-12-12,AAPL,AAPL251212C00277500,277.5,REAL,3:40 PM,0.23,3:50 PM,0.58,0.35,35.0,True,
