# Backtest method: MAX RELIABILITY (win_rate only)  (by day of week)
# Lookback = 138 calendar days
# Generated 2026-06-12 12:28:56  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date; each day uses its own optimal timing
day_of_week,date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
Monday,2026-01-26,AAPL,AAPL260126C00255000,255.0,SIM,3:40 PM,0.9001,3:55 PM,0.5105,-0.3896,-38.96,False,
Monday,2026-02-02,AAPL,AAPL260202C00267500,267.5,REAL,3:40 PM,2.04,3:55 PM,2.47,0.43,43.0,True,
Monday,2026-02-09,AAPL,AAPL260209C00272500,272.5,REAL,3:40 PM,1.36,3:55 PM,2.38,1.02,102.0,True,
Monday,2026-02-23,AAPL,AAPL260223C00267500,267.5,REAL,3:40 PM,0.03,3:54 PM,0.01,-0.02,-2.0,False,
Monday,2026-03-02,AAPL,AAPL260302C00265000,265.0,REAL,3:40 PM,0.13,3:55 PM,0.17,0.04,4.0,True,
Monday,2026-03-09,AAPL,AAPL260309C00257500,257.5,REAL,3:40 PM,3.06,3:55 PM,2.22,-0.84,-84.0,False,
Monday,2026-03-16,AAPL,AAPL260316C00252500,252.5,REAL,3:40 PM,0.24,3:55 PM,0.3,0.06,6.0,True,
Monday,2026-03-23,AAPL,AAPL260323C00252500,252.5,REAL,3:40 PM,0.07,3:55 PM,0.01,-0.06,-6.0,False,
Monday,2026-03-30,AAPL,AAPL260330C00247500,247.5,REAL,3:40 PM,0.01,3:55 PM,0.02,0.01,1.0,True,
Monday,2026-04-06,AAPL,AAPL260406C00260000,260.0,REAL,3:40 PM,0.01,3:55 PM,0.01,0.0,0.0,False,
Monday,2026-04-13,AAPL,AAPL260413C00257500,257.5,REAL,3:40 PM,0.33,3:55 PM,1.87,1.54,154.0,True,
Monday,2026-04-20,AAPL,AAPL260420C00272500,272.5,REAL,3:40 PM,0.15,3:55 PM,0.25,0.1,10.0,True,
Monday,2026-04-27,AAPL,AAPL260427C00267500,267.5,REAL,3:40 PM,0.26,3:55 PM,0.27,0.01,1.0,True,
Monday,2026-05-04,AAPL,AAPL260504C00277500,277.5,REAL,3:40 PM,0.13,3:55 PM,0.04,-0.09,-9.0,False,
Monday,2026-05-11,AAPL,AAPL260511C00292500,292.5,REAL,3:40 PM,0.14,3:55 PM,0.27,0.13,13.0,True,
Monday,2026-05-18,AAPL,AAPL260518C00297500,297.5,REAL,3:40 PM,0.26,3:55 PM,0.34,0.08,8.0,True,
