# Backtest method: MAX EXPECTED PROFIT (win_rate × avg_payoff)
# Lookback = 365 calendar days
# Generated 2026-06-12 11:00:13  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares

DETAIL — one row per MWF date (ATM call at the optimal time)
date,ticker,contract_symbol,strike,source,entry_time,entry_price,exit_time,exit_price,payoff_per_share,pnl_dollars,profitable,note
2025-07-23,AAPL,AAPL250723C00215000,215.0,SIM,3:45 PM,0.066,3:50 PM,0.0161,-0.0498,-4.98,False,
2025-07-25,AAPL,AAPL250725C00215000,215.0,REAL,3:45 PM,0.01,3:50 PM,0.02,0.01,1.0,True,
2025-07-28,AAPL,AAPL250728C00212500,212.5,SIM,3:45 PM,1.3069,3:50 PM,1.362,0.055,5.5,True,
2025-07-30,AAPL,AAPL250730C00207500,207.5,SIM,3:45 PM,0.9137,3:50 PM,1.132,0.2183,21.83,True,
2025-08-01,AAPL,AAPL250801C00202500,202.5,REAL,3:45 PM,0.33,3:50 PM,0.4,0.07,7.0,True,
2025-08-04,AAPL,AAPL250804C00202500,202.5,SIM,3:45 PM,0.3451,3:50 PM,0.4878,0.1427,14.27,True,
2025-08-06,AAPL,AAPL250806C00215000,215.0,SIM,3:45 PM,0.0561,3:50 PM,0.0275,-0.0287,-2.87,False,
2025-08-08,AAPL,AAPL250808C00230000,230.0,REAL,3:45 PM,0.19,3:50 PM,0.28,0.09,9.0,True,
2025-08-11,AAPL,AAPL250811C00227500,227.5,SIM,3:45 PM,0.2497,3:50 PM,0.1626,-0.0871,-8.71,False,
2025-08-13,AAPL,AAPL250813C00232500,232.5,SIM,3:45 PM,1.5882,3:50 PM,1.1448,-0.4434,-44.34,False,
2025-08-15,AAPL,AAPL250815C00230000,230.0,REAL,3:45 PM,1.75,3:50 PM,1.39,-0.36,-36.0,False,
2025-08-18,AAPL,AAPL250818C00232500,232.5,SIM,3:45 PM,0.0695,3:50 PM,0.035,-0.0345,-3.45,False,
2025-08-20,AAPL,AAPL250820C00225000,225.0,SIM,3:45 PM,1.713,3:50 PM,1.598,-0.115,-11.5,False,
2025-08-22,AAPL,AAPL250822C00227500,227.5,REAL,3:45 PM,0.54,3:50 PM,0.55,0.01,1.0,True,
2025-08-25,AAPL,AAPL250825C00227500,227.5,SIM,3:45 PM,0.4844,3:50 PM,0.3311,-0.1533,-15.33,False,
2025-08-27,AAPL,AAPL250827C00230000,230.0,SIM,3:45 PM,0.7613,3:50 PM,0.8049,0.0436,4.36,True,
2025-08-29,AAPL,AAPL250829C00232500,232.5,REAL,3:45 PM,0.48,3:50 PM,0.17,-0.31,-31.0,False,
