ticker,entry_date,entry_ref,exit_date,exit_ref,weekly_return,weekly_return_pct,bucket,entry_ref_date,exit_ref_date,entry_fallback,exit_fallback,n_entry_bars,n_exit_bars
TSLA,2024-06-28,197.609,2024-07-05,250.971,0.270038,27.00%,up,2024-06-28,2024-07-05,False,False,10,10
TSLA,2024-07-05,250.971,2024-07-12,248.569,-0.009571,-0.96%,flat,2024-07-05,2024-07-12,False,False,10,10
TSLA,2024-07-12,248.569,2024-07-19,239.4595,-0.036648,-3.66%,down,2024-07-12,2024-07-19,False,False,10,10
TSLA,2024-07-19,239.4595,2024-07-26,219.526,-0.083244,-8.32%,down,2024-07-19,2024-07-26,False,False,10,10
TSLA,2024-07-26,219.526,2024-08-02,207.0085,-0.057021,-5.70%,down,2024-07-26,2024-08-02,False,False,10,10
TSLA,2024-08-02,207.0085,2024-08-09,199.8975,-0.034351,-3.44%,down,2024-08-02,2024-08-09,False,False,10,10
TSLA,2024-08-09,199.8975,2024-08-16,216.4035,0.082572,8.26%,up,2024-08-09,2024-08-16,False,False,10,10
TSLA,2024-08-16,216.4035,2024-08-23,220.372,0.018338,1.83%,up,2024-08-16,2024-08-23,False,False,10,10
TSLA,2024-08-23,220.372,2024-08-30,213.566,-0.030884,-3.09%,down,2024-08-23,2024-08-30,False,False,10,10
TSLA,2024-08-30,213.566,2024-09-06,211.84,-0.008082,-0.81%,flat,2024-08-30,2024-09-06,False,False,10,10
TSLA,2024-09-06,211.84,2024-09-13,230.168,0.086518,8.65%,up,2024-09-06,2024-09-13,False,False,10,10
TSLA,2024-09-13,230.168,2024-09-20,238.41,0.035809,3.58%,up,2024-09-13,2024-09-20,False,False,10,10
TSLA,2024-09-20,238.41,2024-09-27,260.2425,0.091575,9.16%,up,2024-09-20,2024-09-27,False,False,10,10
TSLA,2024-09-27,260.2425,2024-10-04,249.955,-0.039530,-3.95%,down,2024-09-27,2024-10-04,False,False,10,10
TSLA,2024-10-04,249.955,2024-10-11,217.9675,-0.127973,-12.80%,down,2024-10-04,2024-10-11,False,False,10,10
TSLA,2024-10-11,217.9675,2024-10-18,220.735,0.012697,1.27%,flat,2024-10-11,2024-10-18,False,False,10,10
TSLA,2024-10-18,220.735,2024-10-25,269.0795,0.219016,21.90%,up,2024-10-18,2024-10-25,False,False,10,10
TSLA,2024-10-25,269.0795,2024-11-01,248.769,-0.075481,-7.55%,down,2024-10-25,2024-11-01,False,False,10,10
TSLA,2024-11-01,248.769,2024-11-08,320.8165,0.289616,28.96%,up,2024-11-01,2024-11-08,False,False,10,10
TSLA,2024-11-08,320.8165,2024-11-15,320.5505,-0.000829,-0.08%,flat,2024-11-08,2024-11-15,False,False,10,10
TSLA,2024-11-15,320.5505,2024-11-22,352.856,0.100781,10.08%,up,2024-11-15,2024-11-22,False,False,10,10
TSLA,2024-11-22,352.856,2024-11-29,332.87,-0.056641,-5.66%,down,2024-11-22,2024-11-27,False,True,10,10
TSLA,2024-11-29,332.87,2024-12-06,387.7435,0.164850,16.48%,up,2024-11-27,2024-12-06,True,False,10,10
TSLA,2024-12-06,387.7435,2024-12-13,434.8565,0.121506,12.15%,up,2024-12-06,2024-12-13,False,False,10,10
TSLA,2024-12-13,434.8565,2024-12-20,424.1825,-0.024546,-2.45%,down,2024-12-13,2024-12-20,False,False,10,10
TSLA,2024-12-20,424.1825,2024-12-27,431.1105,0.016333,1.63%,up,2024-12-20,2024-12-27,False,False,10,10
TSLA,2024-12-27,431.1105,2025-01-03,410.347,-0.048163,-4.82%,down,2024-12-27,2025-01-03,False,False,10,10
TSLA,2025-01-03,410.347,2025-01-10,394.7755,-0.037947,-3.79%,down,2025-01-03,2025-01-10,False,False,10,10
TSLA,2025-01-10,394.7755,2025-01-17,428.246,0.084784,8.48%,up,2025-01-10,2025-01-17,False,False,10,10
